SYMBOL,EXCHANGE,SERIES,ISIN,DATE,CMP,OPEN,HIGH,LOW,PREV_CLOSE,CHANGE_PCT,VWAP,VOLUME,TURNOVER,AVG_VOL_20D,VOL_SPIKE_RATIO,DELIV_PER,EMA_50,EMA_200,DIST_FROM_EMA50_PCT,DIST_FROM_EMA200_PCT,EMA_GOLDEN_CROSS,RSI_14,HIGH_52W,LOW_52W,DIST_FROM_52W_HIGH_PCT,DIST_FROM_52W_LOW_PCT,DAYS_OF_HISTORY,RETURN_1D_PCT,RETURN_1W_PCT,RETURN_1M_PCT,RETURN_3M_PCT,RETURN_6M_PCT,RETURN_1Y_PCT,IS_SME
DCG,NSE,SM,INE0S8401018,2026-07-22,53.0,53.1,53.8,53.0,53.0,0.0,53.28,10800,575400.0,22860.0,0.47,,56.38,62.23,-6.0,-14.84,False,45.74,76.05,48.25,-30.31,9.84,208,0.0,-0.09,-7.67,-15.0,-19.94,,True
DCI,NSE,EQ,INE0A1101019,2026-07-22,265.15,273.9,276.5,261.05,272.6,-2.73,270.63,45779,12389052.65,17467.0,2.62,,277.55,272.81,-4.47,-2.81,True,41.19,400.45,214.03,-33.79,23.88,215,-2.73,-2.45,-1.89,-12.52,9.3,,False
DCM,NSE,BE,INE498A01018,2026-07-22,92.07,97.0,97.0,92.07,96.91,-4.99,93.14,22874,2130474.75,13299.0,1.72,,92.64,88.5,-0.61,4.03,True,42.98,101.46,55.37,-9.25,66.28,215,-4.99,-7.0,-6.51,28.9,4.98,,False
DCMFINSERV,NSE,BE,INE891B01012,2026-07-22,5.0,5.24,5.24,4.98,5.01,-0.2,5.17,3592,18583.51,5336.0,0.67,,5.32,5.35,-5.94,-6.46,False,30.37,8.15,3.91,-38.65,27.88,215,-0.2,-6.54,-8.09,-5.48,3.73,,False
DCMNVL,NSE,BE,INE08KP01019,2026-07-22,147.83,149.9,150.0,147.0,147.0,0.56,148.82,2265,337066.18,5776.0,0.39,,147.99,143.76,-0.11,2.83,True,47.38,169.58,97.56,-12.83,51.53,215,0.56,1.25,-0.12,24.02,14.96,,False
DCMSHRIRAM,NSE,EQ,INE499A01024,2026-07-22,1013.7,1038.1,1040.1,1009.2,1038.1,-2.35,1020.94,41407,42274237.8,74821.0,0.55,,1056.03,1128.14,-4.01,-10.14,False,41.54,1379.7,964.0,-26.53,5.16,215,-2.35,-1.35,-2.79,-15.5,-14.03,,False
DCMSIL,NSE,BE,INE0OU201013,2026-07-22,83.05,83.05,83.05,83.05,84.74,-1.99,83.05,25250,2097012.5,29101.0,0.87,,72.03,63.16,15.3,31.5,True,68.95,100.4,52.21,-17.28,59.07,104,-1.99,1.91,23.06,24.87,,,False
DCMSRIND,NSE,EQ,INE843D01027,2026-07-22,41.9,42.41,44.25,41.2,42.41,-1.2,42.83,307298,13160423.25,288498.0,1.07,,40.39,71.13,3.75,-41.1,False,58.26,176.4,32.66,-76.25,28.29,215,-1.2,3.84,8.86,7.44,-7.93,,False
DCW,NSE,EQ,INE500A01029,2026-07-22,46.08,47.62,47.9,46.0,47.59,-3.17,46.48,925339,43008677.82,1230644.0,0.75,,47.68,52.98,-3.35,-13.03,False,43.14,74.86,37.49,-38.45,22.91,215,-3.17,-1.66,-9.09,-1.83,-14.33,,False
DCXINDIA,NSE,EQ,INE0KL801015,2026-07-22,182.83,185.7,186.95,182.1,185.7,-1.55,183.32,1077533,197533210.51,1054272.0,1.02,,193.89,201.54,-5.7,-9.28,False,37.81,279.3,154.23,-34.54,18.54,215,-1.55,-5.21,-11.04,-3.54,1.84,,False
